100000 100000
69511 43768 22226
67101 74652 63890
27151 71687 55324
86894 70818 99645
6643 75448 63473
32720 8459 82251
75409 61725 22914
81708 41492 91110
29166 59354 3546
70815 71166 74741
78148 70898 81249
60396 15618 29147
16718 42790 5876
4994 23996 65934
99180 29849 31659
41283 48902 40624
75152 22099 93841
26824 17968 11512
21110 44867 36033
50388 90951 72782
68962 5346 48445
49275 96529 70258
92275 7784 67202
44247 54573 28814
41725 15356 41851
57553 40092 53673
31990 95669 30822
76068 42167 78919
33032 27870 50543
82046 81065 98692
60670 55367 7264
77207 264 41065
78065 42774 58322
92055 40154 29165
25424 43265 42112
82993 45784 78221
49378 18413 99457
78789 88288 94788
85473 23047 85902
12203 87877 52068
16646 6871 58293
37226 12554 53229
44795 58451 30638
56508 8267 70565
1317 54186 47447
36739 36128 14922
55600 92505 10396
1501 52401 76333
49519 66460 25477
58431 97614 59537
42260 87711 28734
98798 40090 90994
16410 97849 74994
59282 30291 33310
20147 3244 76570
43304 22920 12856
41461 75356 7887
17267 20142 7460
92722 18453 38633
58104 7599 38089
39434 23230 46544
1176 38882 48693
44137 55925 74873
92328 71449 34455
5607 25511 54383
55829 8314 88386
42353 83938 94142
26530 67010 30971
4694 82337 91906
14239 42980 12123
71468 25296 22983
57266 23632 80013
35235 91852 19449
16020 20439 16707
26914 24210 85322
45133 53228 74480
12991 10433 53365
31165 15738 59491
89335 33520 7482
58545 30012 53763
20376 59468 42385
1537 85995 65581
25804 82567 12657
96710 81604 40941
48802 12125 61276
13463 70306 62826
44574 48459 9605
52786 73746 74447
95332 25554 56719
41277 73188 63013
86334 22061 52406
22665 3422 51300
43058 67720 56163
80834 51209 57043
2066 11373 85174
89628 54501 58475
98209 8173 65186
51870 61756 53084
73593 15 50756
88786 16436 43210
17987 90409 710
82042 42114 6773
26397 86519 47813
18962 22736 2519
44026 69724 41565
6005 69438 45191
20709 4204 56479
77441 30192 38032
17847 16878 7863
76788 59210 26827
29041 23097 92425
81036 21167 21512
35772 78211 33513
51295 45429 23766
49683 98688 11927
13969 26096 25414
43630 78175 58969
27424 3080 49548
61091 89453 47004
81727 81502 85517
56269 80425 4954
33488 16609 6606
23112 39720 74395
52892 76513 36852
98052 87573 75049
83657 49223 18706
32092 98650 21647
58923 73647 55319
66970 5766 17075
7014 50521 92793
52779 9797 56718
89709 1928 29952
70679 65219 23211
51457 45590 43361
42052 91733 45321
24984 72352 836
30991 40871 30209
60600 31792 56920
55872 16709 80223
31996 84326 17137
80160 23316 81543
67688 92472 24960
29349 71026 16144
4926 50408 59481
10286 96976 94830
67963 64484 24069
62025 88142 84878
50560 9590 74279
21389 4454 31406
42254 39471 44059
37375 77471 98621
18668 66046 84118
60432 34571 42830
56030 20268 40647
90963 98410 5416
6867 22359 34889
90682 24854 39658
31744 1076 29979
40587 56939 32018
23511 12357 12619
98001 83118 92429
79834 13365 40360
32425 13502 25414
42940 13722 14137
10578 22520 83843
52698 54007 31898
70502 52180 83661
89734 57046 48397
19319 60558 93542
36066 16403 71610
55486 58932 32188
83193 72873 92289
27906 84876 27225
41484 22591 75189
80738 61459 96828
38325 50633 35992
44642 91828 42528
18548 83619 4026
19087 50113 34403
43678 94838 55251
67271 62054 53163
1295 67372 35244
7948 6342 7834
31581 33740 94077
80665 9303 17771
3978 10839 7972
23319 2589 25688
90820 93543 51201
60849 49089 35306
62309 65094 23200
89387 72241 71761
94460 34334 91256
23649 67531 51145
89732 54834 38831
19456 69530 79763
511 46006 99280
59899 8599 45955
50964 11211 57460
6025 96666 74100
69343 26999 26445
2462 57065 98343
56071 88250 76700
60419 32991 4217
39507 84037 2544
36095 80135 99178
94236 42061 68531
46246 16540 61867
2941 34394 27102
62307 24638 30687
61923 41765 13488
24533 77601 58524
53639 41688 7015
78406 88741 47159
13549 71233 31036
51498 20160 14164
32076 74013 41326
28866 75227 2063
68147 52113 61611
21013 57118 24649
7487 23432 72441
92418 84797 43664
37483 99913 32826
92048 85858 95352
21090 12114 66846
33972 48453 98529
41788 36620 25483
35821 42362 72622
14854 68692 93565
32965 94447 47453
54189 82459 2351
30107 59829 36344
72669 51088 59321
14543 52536 9697
89751 392 75087
87414 33643 1353
86106 59441 12207
93352 73339 39247
3537 32038 29263
79047 10840 89000
65166 25129 41450
15816 80743 46940
83385 70430 75757
70451 39281 56961
51900 37152 88145
92600 47378 68974
88002 102 44990
66590 66419 59683
96940 92769 13624
82859 76405 91363
36262 8435 79347
16306 2738 40303
30850 56552 64745
37604 84379 70924
70148 59955 30034
54536 73740 66765
69009 81323 72670
95914 48635 76794
11844 95155 41419
73134 74073 45067
672 75764 63052
55637 96575 58818
68991 13217 29247
39710 40979 63456
17959 67546 81258
9548 48495 54636
92021 95039 32435
24789 59699 9722
77616 17030 90965
52712 26142 78284
96445 97227 33101
68912 71057 52273
72056 87086 84465
65689 50232 64390
99553 7730 68732
40556 69411 20208
89003 20374 79498
25363 22042 68915
64537 86660 34917
34627 86729 47979
36462 26190 96725
9928 34941 95272
70745 21028 32709
93967 82307 66960
44404 64027 46258
95349 66958 63074
44690 47611 82246
91103 54565 60040
86200 15805 92782
21957 9506 4280
9711 75864 80404
31795 79140 5099
41433 59306 99522
79821 8494 29455
54034 54208 58063
74837 81886 11572
15510 17108 33551
47363 26986 16953
92077 44018 59208
78162 41256 53611
63529 64758 5147
85803 38645 60097
94005 14927 39806
18982 18433 79428
48695 83174 37835
374 28704 56499
81803 41503 52737
86632 59548 20248
41235 62093 63241
54905 63589 2596
6632 54199 91119
67489 63040 44825
39588 8515 24912
71994 28821 44146
16163 99661 64891
77873 56566 460
55603 42565 3212
11357 81240 23487
92093 29409 23290
81599 93157 92209
52117 33889 12718
21641 71279 59811
16860 17191 29850
38911 84423 80432
42413 15827 78527
54212 62662 63257
58844 39864 628
21818 4090 501
5783 95538 69020
80912 50734 71796
98954 26915 87079
43793 79454 37211
98149 12245 92237
74833 70038 28443
67504 91392 73024
75583 74942 77564
48410 27706 54133
30639 64197 3319
23793 27928 15855
67806 58941 53808
37272 78322 37754
99269 11375 43764
53368 51876 53899
9014 48803 34491
76602 82591 54942
55169 37576 88825
14673 96568 82978
79279 9501 82756
59887 13146 61751
46147 48168 46711
32247 89149 94006
67065 48748 45257
52419 99863 74094
72814 49301 97774
68570 76341 73758
94426 15013 21380
89790 55122 93641
32224 56050 60271
78373 91307 61422
44944 57919 2921
69945 84921 70934
80025 49223 2198
50260 85442 87536
55581 21616 81478
45018 2925 98039
45128 37893 783
38904 72076 51391
46444 65212 40556
85491 36103 57963
71432 12532 55196
56903 18570 8022
60006 55117 35732
43844 44285 43259
68842 16296 26122
54173 71090 98924
62034 18595 31542
49995 95277 21978
39676 18951 23954
66421 11165 2172
99990 85364 48472
22352 75891 16925
20716 82662 97773
77857 33087 51589
69829 28363 20818
72795 71884 56301
33399 13653 10997
19273 83894 65318
63752 97706 89233
39320 10306 34571
3648 12369 19862
71716 39342 56248
82801 34768 11785
16009 87205 92626
40550 72539 12242
90063 16862 40369
74925 88267 28440
9501 65549 39325
58060 1585 85915
16352 14577 54666
15089 96647 8148
87647 47513 67374
94099 77099 91661
71820 78485 56108
46016 60494 52929
8900 46272 29420
70140 57829 47600
10609 52387 13033
29607 80436 34445
68069 22419 10717
29177 89216 1186
25283 2003 52483
19897 87222 76493
9771 77680 63350
70814 6036 79940
9378 14677 62565
34374 28864 49444
92798 37822 59346
11925 17640 13601
99100 56920 70064
96412 53442 16000
89649 31477 43397
71944 88033 53102
69417 1987 46742
96196 84285 65053
32031 26126 35180
98440 23130 27863
85444 55722 53008
65980 52615 74000
82588 45289 85247
72338 48386 73068
17724 56823 22864
73829 99235 38056
65419 91870 86339
51410 82721 56346
65448 78779 74169
99433 45364 39132
73445 40969 90503
26708 18627 33053
25855 96629 15865
23383 40326 26716
76311 81213 73714
99019 75880 72007
47218 1587 87346
24530 97507 61726
89429 79581 75931
34146 13066 83448
95330 37452 72341
44438 61400 36971
79566 93542 17904
45614 87017 16662
36672 58198 37898
86542 34965 83608
98148 48108 98
60697 46209 63271
1634 93503 71617
11855 72301 72614
4743 95831 58745
75851 72632 71147
58434 17879 8752
39120 88602 98883
391 33256 74753
54655 56512 23925
42053 39378 85652
89541 23297 94837
11009 39599 57714
24656 18445 38991
92839 67894 48378
83460 51961 78057
48183 76186 75504
89165 46947 8626
45216 85329 95015
56537 76585 32617
84614 90752 69426
51181 3926 13964
8996 5821 15665
42819 79680 24721
57428 79918 99527
76243 78514 86463
21087 65114 63276
76791 92747 7972
22677 25327 54223
67173 45131 42597
26348 95762 27629
95966 16656 23306
37823 36851 59923
25098 16685 72511
84336 44463 93413
93746 89776 52968
20793 12349 79565
81205 18183 26573
47412 73837 94859
76202 83233 63590
73614 26082 65971
37412 66457 25256
97074 6301 19176
30151 37750 46572
10035 68908 45691
65064 57006 72138
59013 80137 24564
92562 45302 45914
80656 64515 62448
43293 28265 57137
82184 97464 16910
51391 81744 66691
20531 32260 86680
65649 35844 82429
20356 70848 28519
3527 15207 24537
84735 96235 97795
72673 84228 27509
97483 49153 52356
3852 74858 61670
81067 16265 48082
77229 47782 18898
88121 11452 76647
88850 17462 75412
56180 50315 24669
21042 79958 68992
95930 75591 27847
97229 20806 32296
33430 82906 11591
7500 15088 5961
86968 25647 30013
59267 57734 97278
33156 92726 72998
36317 83944 65495
74256 71317 28198
45568 78829 11141
49943 43452 45015
93750 45440 90858
11494 22868 56903
76344 17689 42138
71770 63922 57055
25242 64445 84090
43884 45680 55580
23729 90985 27056
44828 16099 2783
89754 30744 42700
13308 85676 57959
68366 43155 88200
55727 39191 97948
68677 88116 99762
77483 58723 6503
76100 44308 60301
93855 26577 52209
21459 69924 94902
86570 62526 6416
43086 57963 39786
36532 1918 70523
37850 63596 5264
88199 77547 25576
89162 98520 79301
12378 36284 92979
12569 48887 84176
74691 51886 12230
33310 67987 94341
49386 89981 53963
23889 98493 47906
90542 20112 52815
79902 23083 85906
4728 79228 74529
39331 33198 16628
74720 14055 71270
13087 57289 37941
14245 50587 57155
56512 10787 71825
83264 90110 13182
10698 98320 7769
60898 91869 71795
81028 12595 68396
26 16610 80649
93152 19550 88074
4017 15434 93618
57310 46490 73238
4591 89305 82018
30955 47741 14538
21069 65310 25647
11710 26629 40542
55671 26809 82328
14133 49365 49078
9313 69485 45648
93625 86033 39474
30638 11568 65969
52743 1570 55354
9088 65065 1086
77860 48988 69102
87804 5925 52826
91473 62585 1124
40899 42736 57057
85425 4246 81779
62484 25007 47766
59594 9226 81895
99157 74191 15710
35791 68406 98914
75768 60428 90345
23802 12985 76865
7988 77651 4164
81513 90946 74305
16254 12973 55943
20127 95957 3895
56212 16402 3719
90275 38901 18900
92896 92066 70658
8458 77126 2440
6874 55739 87600
9484 42202 72270
64198 45250 85858
28197 13740 26677
19768 12411 82472
10988 38235 72683
12777 76665 36298
15403 61444 64739
65710 55103 65786
23628 45233 18305
11197 2415 29059
2450 20064 67894
20424 77208 10730
10624 76920 4108
58050 26022 69911
73270 16043 84344
21803 32556 70587
909 33217 54239
12483 60435 2743
62728 33845 56495
73368 94906 82166
5791 12011 67750
25253 62736 64902
93134 76355 38758
39463 95059 71658
97727 16451 39292
40649 68163 30643
2614 29348 64155
36535 53632 23176
73515 34956 39632
38150 89646 46271
90675 98470 61647
81155 63999 43795
87200 31411 60071
21715 81025 73331
27920 73400 55578
65237 21480 12295
4964 63006 24613
26191 82770 54025
48957 57106 51818
38394 59127 96357
